ID,Name,Owner,Folder,Views (all time),Created,Last Updated,URL
2674,Commercial Dashboard Test - Duplicate,Unknown,Carwow / Germany / MARKETPLACE / Commercial reporting ,17,2025-07-23,2026-03-13,https://carwow.metabaseapp.com/dashboard/2674
2179,SMC DE & GYC DE Cross Sell,Unknown,Carwow / Germany / MARKETPLACE / Selina (mainly SMC),116,2025-05-23,2026-03-19,https://carwow.metabaseapp.com/dashboard/2179
1816,SMC DE - Listing Types over Time,Unknown,Carwow / Germany / MARKETPLACE / Selina (mainly SMC),70,2025-04-29,2026-03-19,https://carwow.metabaseapp.com/dashboard/1816
2245,SMC DE Auction Metrics,Unknown,Carwow / Germany / MARKETPLACE / Selina (mainly SMC),96,2025-06-04,2026-03-19,https://carwow.metabaseapp.com/dashboard/2245
2146,SMC DE Pre Qual : Buy Now / Pricing,Unknown,Carwow / Germany / MARKETPLACE / Selina (mainly SMC),36,2025-05-21,2026-03-19,https://carwow.metabaseapp.com/dashboard/2146
1156,wow-Pilot - Dashboard,Unknown,Carwow / Germany / OPS / Enquiry GPT,218824,2024-12-06,2026-03-13,https://carwow.metabaseapp.com/dashboard/1156
3037,Salestrail Call Dashboard - Duplicate,Unknown,Carwow / Germany / OPS / Partner Operations  / Tenios / Phonenumbers,23,2025-10-06,2026-03-13,https://carwow.metabaseapp.com/dashboard/3037
991,Stock Sourcing,Unknown,Carwow / Germany / OPS / Stock/Used Data / Stock Sourcing Tracking,859,2024-09-16,2026-03-13,https://carwow.metabaseapp.com/dashboard/991
1123,Used - Dashboard,Unknown,Carwow / Germany / OPS / Stock/Used Data / Used,12877,2024-11-18,2026-03-13,https://carwow.metabaseapp.com/dashboard/1123
1255,Used - Dashboard - UK,Unknown,Carwow / Germany / OPS / Stock/Used Data / Used,12,2025-01-23,2026-03-13,https://carwow.metabaseapp.com/dashboard/1255
1090,Used Accounts Check,Unknown,Carwow / Germany / OPS / Till,12,2024-11-05,2026-03-13,https://carwow.metabaseapp.com/dashboard/1090
2972,Used Car Dashboard,Unknown,Carwow / Germany / OPS / Till,777,2025-09-24,2026-03-13,https://carwow.metabaseapp.com/dashboard/2972
1849,Used Overview,Unknown,Carwow / Germany / OPS / Till,103,2025-05-06,2026-03-13,https://carwow.metabaseapp.com/dashboard/1849
298,Enquiries,Unknown,Carwow / Global / Strategy,11,2023-10-26,2026-03-13,https://carwow.metabaseapp.com/dashboard/298
595,Transport invoice,Unknown,Carwow / Operations,2204,2024-04-12,2026-03-13,https://carwow.metabaseapp.com/dashboard/595
3532,Commissions Jan 26,Unknown,Carwow / Operations / Commission Calc. + Agent KPIs / Q1 26 / OLD,21,2026-01-07,2026-04-16,https://carwow.metabaseapp.com/dashboard/3532
3598,Pricing Changes,Unknown,Carwow / UK,113,2026-01-22,2026-03-13,https://carwow.metabaseapp.com/dashboard/3598
397,Q1 Uploads,Unknown,Carwow / UK,13,2024-01-05,2026-03-13,https://carwow.metabaseapp.com/dashboard/397
430,SMC Office Screens,Unknown,Carwow / UK,424648,2024-01-11,2026-03-13,https://carwow.metabaseapp.com/dashboard/430
760,Ask Mat,Unknown,Carwow / UK / Ask Mat,76,2024-07-11,2026-03-13,https://carwow.metabaseapp.com/dashboard/760
562,2024 Q1 Carwow Insider magazine: Customer Configurations,Unknown,Carwow / UK / Marketplace UK,112,2024-04-05,2026-03-13,https://carwow.metabaseapp.com/dashboard/562
892,Leasing CEs,Unknown,Carwow / UK / Marketplace UK,13,2024-08-08,2026-03-13,https://carwow.metabaseapp.com/dashboard/892
3235,Auction Performance,Unknown,Carwow / UK / SMC Trading / Laura B,88,2025-11-07,2026-03-13,https://carwow.metabaseapp.com/dashboard/3235
3004,Auction Success,Unknown,Carwow / UK / SMC Trading / Laura B,278,2025-09-30,2026-03-13,https://carwow.metabaseapp.com/dashboard/3004
2872,Conversion ,Unknown,Carwow / UK / SMC Trading / Laura B,83,2025-08-06,2026-03-13,https://carwow.metabaseapp.com/dashboard/2872
2707,Conversion by Price Band,Unknown,Carwow / UK / SMC Trading / Laura B,39,2025-07-25,2026-03-13,https://carwow.metabaseapp.com/dashboard/2707
2938,Days between events,Unknown,Carwow / UK / SMC Trading / Laura B,15,2025-09-22,2026-03-13,https://carwow.metabaseapp.com/dashboard/2938
3367,Finance info,Unknown,Carwow / UK / SMC Trading / Laura B,34,2025-12-08,2026-03-13,https://carwow.metabaseapp.com/dashboard/3367
2773,Monthly Roundup,Unknown,Carwow / UK / SMC Trading / Laura B,98,2025-08-04,2026-03-13,https://carwow.metabaseapp.com/dashboard/2773
3268,New Daily Conversion,Unknown,Carwow / UK / SMC Trading / Laura B,233,2025-11-14,2026-03-13,https://carwow.metabaseapp.com/dashboard/3268
2839,Pricing Segments,Unknown,Carwow / UK / SMC Trading / Laura B,451,2025-08-05,2026-03-13,https://carwow.metabaseapp.com/dashboard/2839
2113,Stock Mix,Unknown,Carwow / UK / SMC Trading / Laura B,297,2025-05-21,2026-03-13,https://carwow.metabaseapp.com/dashboard/2113
3433,Top 10 ,Unknown,Carwow / UK / SMC Trading / Laura B,51,2025-12-15,2026-03-13,https://carwow.metabaseapp.com/dashboard/3433
2080,"Uploads, Bids and Sales",Unknown,Carwow / UK / SMC Trading / Laura B,88,2025-05-15,2026-03-13,https://carwow.metabaseapp.com/dashboard/2080
3301,Volumes w/c17th,Unknown,Carwow / UK / SMC Trading / Laura B,20,2025-11-19,2026-03-13,https://carwow.metabaseapp.com/dashboard/3301
2048,Project Connect Tracking,Unknown,Carwow / UK / SMC Trading / Matt C,6316,2025-05-14,2026-03-13,https://carwow.metabaseapp.com/dashboard/2048
2608,Propensity to Sell / RPL,Unknown,Carwow / UK / SMC Trading / Matt C,23,2025-07-17,2026-03-13,https://carwow.metabaseapp.com/dashboard/2608
3334,XXX,Unknown,Carwow / UK / Strategy,8,2025-11-28,2026-03-13,https://carwow.metabaseapp.com/dashboard/3334
232,Test,Unknown,Chris Hart's Personal Collection,7,2023-10-09,2026-03-13,https://carwow.metabaseapp.com/dashboard/232
3499,tesat,Unknown,Idan Shteinberg's Personal Collection,9,2026-01-05,2026-03-13,https://carwow.metabaseapp.com/dashboard/3499
100,Test leads by dealer,Unknown,Jaime García's Personal Collection,7,2023-06-06,2026-03-13,https://carwow.metabaseapp.com/dashboard/100
102,test cor share,Unknown,Jaime García's Personal Collection,7,2023-06-06,2026-03-13,https://carwow.metabaseapp.com/dashboard/102
166,javi_test_dashboard,Unknown,Javier Chamorro's Personal Collection,6,2023-07-31,2026-03-13,https://carwow.metabaseapp.com/dashboard/166
661,Post-auction data,Unknown,Joana Fernandes's Personal Collection,5,2024-04-23,2026-03-13,https://carwow.metabaseapp.com/dashboard/661
3697,test,Unknown,Konstantin Schubert's Personal Collection,84,2026-05-07,2026-05-13,https://carwow.metabaseapp.com/dashboard/3697
859,Ask Mat,Unknown,Laura Adams's Personal Collection,5,2024-08-05,2026-03-13,https://carwow.metabaseapp.com/dashboard/859
2014,Listing Details,Unknown,Laura Brenninkmeijer's Personal Collection,23,2025-05-13,2026-03-13,https://carwow.metabaseapp.com/dashboard/2014
1948,SMC DE - Liquidity - Laura Copy UK,Unknown,Laura Brenninkmeijer's Personal Collection,31,2025-05-08,2026-03-13,https://carwow.metabaseapp.com/dashboard/1948
1949,SMC DE - May Tracking - Duplicate,Unknown,Laura Brenninkmeijer's Personal Collection,5,2025-05-08,2026-03-13,https://carwow.metabaseapp.com/dashboard/1949
1981,Stock Mix,Unknown,Laura Brenninkmeijer's Personal Collection,128,2025-05-09,2026-03-13,https://carwow.metabaseapp.com/dashboard/1981
2047,Stock Mix - Duplicate,Unknown,Laura Brenninkmeijer's Personal Collection,53,2025-05-14,2026-03-13,https://carwow.metabaseapp.com/dashboard/2047
133,Miguel Dashboard,Unknown,Miguel Roca's Personal Collection,10,2023-06-13,2026-03-13,https://carwow.metabaseapp.com/dashboard/133
265,Test v1,Unknown,Mohamed Mousaoui's Personal Collection,7,2023-10-23,2026-03-13,https://carwow.metabaseapp.com/dashboard/265
364,SMC & GYC Cross-Sell,Unknown,Nadia Sotiropoulou's Personal Collection,8,2023-12-20,2026-03-13,https://carwow.metabaseapp.com/dashboard/364
1717,12Gebrauchtwagen SMC,Unknown,Our analytics (root),11,2025-04-09,2026-03-13,https://carwow.metabaseapp.com/dashboard/1717
1783,BAM,Unknown,Our analytics (root),13,2025-04-24,2026-03-13,https://carwow.metabaseapp.com/dashboard/1783
3202,Black Friday DE,Unknown,Our analytics (root),54,2025-11-04,2026-03-13,https://carwow.metabaseapp.com/dashboard/3202
3565,Cancellation Reason by Month,Unknown,Our analytics (root),43,2026-01-21,2026-03-13,https://carwow.metabaseapp.com/dashboard/3565
3400,Carsa Listing Info,Unknown,Our analytics (root),24,2025-12-12,2026-03-13,https://carwow.metabaseapp.com/dashboard/3400
2410,Commercial OKRs Q3,Unknown,Our analytics (root),41,2025-06-11,2026-03-13,https://carwow.metabaseapp.com/dashboard/2410
1057,Commercial Workshop,Unknown,Our analytics (root),96,2024-10-23,2026-03-13,https://carwow.metabaseapp.com/dashboard/1057
2740,Conversion by Day,Unknown,Our analytics (root),21,2025-07-28,2026-03-13,https://carwow.metabaseapp.com/dashboard/2740
3136,EV Grant DE,Unknown,Our analytics (root),20,2025-10-16,2026-03-13,https://carwow.metabaseapp.com/dashboard/3136
3169,GYC DE : AVCOD / Supply,Unknown,Our analytics (root),29,2025-10-29,2026-03-13,https://carwow.metabaseapp.com/dashboard/3169
2641,GYC DE : Weekly Supply Changes ,Unknown,Our analytics (root),264,2025-07-18,2026-03-13,https://carwow.metabaseapp.com/dashboard/2641
2806,Monthly Affiliate Overview ,Unknown,Our analytics (root),7,2025-08-05,2026-03-13,https://carwow.metabaseapp.com/dashboard/2806
3466,Net Sales by SMC Dealer Group,Unknown,Our analytics (root),23,2025-12-30,2026-03-13,https://carwow.metabaseapp.com/dashboard/3466
2905,SF Dashboard,Unknown,Our analytics (root),8,2025-08-28,2026-03-13,https://carwow.metabaseapp.com/dashboard/2905
1915,SMC DE - Liquidity,Unknown,Our analytics (root),206,2025-05-07,2026-03-13,https://carwow.metabaseapp.com/dashboard/1915
1882,SMC DE - Monthly Tracking,Unknown,Our analytics (root),2658,2025-05-07,2026-04-22,https://carwow.metabaseapp.com/dashboard/1882
3631,SMC DE Invoicing,Unknown,Our analytics (root),27,2026-03-17,2026-03-17,https://carwow.metabaseapp.com/dashboard/3631
1585,SMC Office Screens - DE - Sales,Unknown,Our analytics (root),146169,2025-03-12,2026-03-13,https://carwow.metabaseapp.com/dashboard/1585
1024,Salestrail Call Dashboard,Unknown,Our analytics (root),275265,2024-10-16,2026-03-13,https://carwow.metabaseapp.com/dashboard/1024
2971,Used Car Dashboard,Unknown,Our analytics (root),7,2025-09-24,2026-03-13,https://carwow.metabaseapp.com/dashboard/2971
1751,Used Overview,Unknown,Our analytics (root),68,2025-04-23,2026-03-13,https://carwow.metabaseapp.com/dashboard/1751
1750,Used Standdays,Unknown,Our analytics (root),27,2025-04-23,2026-03-13,https://carwow.metabaseapp.com/dashboard/1750
2212,sqi,Unknown,Our analytics (root),25,2025-06-03,2026-03-13,https://carwow.metabaseapp.com/dashboard/2212
2509,Brand Performance,Unknown,Philipp Absmeier's Personal Collection,45,2025-06-16,2026-03-13,https://carwow.metabaseapp.com/dashboard/2509
3862,Account Management Dashboard - Duplicate,Unknown,Salome Hörmann's Personal Collection,4,2026-06-02,2026-06-02,https://carwow.metabaseapp.com/dashboard/3862
3763,LT5Offers Analysis,Unknown,Salome Hörmann's Personal Collection,12,2026-05-12,2026-05-12,https://carwow.metabaseapp.com/dashboard/3763
3829,Test LT5,Unknown,Salome Hörmann's Personal Collection,7,2026-06-02,2026-06-02,https://carwow.metabaseapp.com/dashboard/3829
2377,SMC DE Pricing,Unknown,Selina Dilger's Personal Collection,21,2025-06-09,2026-03-13,https://carwow.metabaseapp.com/dashboard/2377
1354,SMC Office Screens - DE - Commercial,Unknown,Selina Dilger's Personal Collection,119795,2025-02-13,2026-03-13,https://carwow.metabaseapp.com/dashboard/1354
1189,Used - Dashboard - UK (PLAY),Unknown,Shanil Mehta's Personal Collection,6,2025-01-03,2026-03-13,https://carwow.metabaseapp.com/dashboard/1189
1256,Used Cars Overview,Unknown,Shanil Mehta's Personal Collection,256965,2025-01-23,2026-03-13,https://carwow.metabaseapp.com/dashboard/1256
529,EV Duration Share,Unknown,Sven Huybrechts's Personal Collection,9,2024-03-01,2026-03-13,https://carwow.metabaseapp.com/dashboard/529
826,LDM Dash,Unknown,Sven Huybrechts's Personal Collection,435,2024-08-01,2026-03-13,https://carwow.metabaseapp.com/dashboard/826
993,Stock Sourcing - TV Dash,Unknown,Sven Huybrechts's Personal Collection,230718,2024-09-16,2026-03-13,https://carwow.metabaseapp.com/dashboard/993
467,Content with cobwebs,Unknown,Usage analytics,26,2023-11-01,2026-05-21,https://carwow.metabaseapp.com/dashboard/467
469,Dashboard overview,Unknown,Usage analytics,32,2023-08-17,2026-05-21,https://carwow.metabaseapp.com/dashboard/469
925,Dashboard subscriptions and alerts,Unknown,Usage analytics,6,2024-03-06,2026-05-21,https://carwow.metabaseapp.com/dashboard/925
3796,Embedding Usage,Unknown,Usage analytics,5,2026-04-21,2026-05-21,https://carwow.metabaseapp.com/dashboard/3796
465,Metabase metrics,Unknown,Usage analytics,23,2023-06-14,2026-05-21,https://carwow.metabaseapp.com/dashboard/465
468,Most viewed content,Unknown,Usage analytics,37,2023-08-18,2026-05-21,https://carwow.metabaseapp.com/dashboard/468
463,Performance overview,Unknown,Usage analytics,8,2023-11-01,2026-05-21,https://carwow.metabaseapp.com/dashboard/463
464,Person overview,Unknown,Usage analytics,50,2023-06-15,2026-05-21,https://carwow.metabaseapp.com/dashboard/464
466,Question overview,Unknown,Usage analytics,82,2023-06-15,2026-05-21,https://carwow.metabaseapp.com/dashboard/466
